,zoneid,layerid,areal 4.5,areal 5.5,smoothed 4.5,smoothed 5.5,N 4.5,N 5.5,ratio 4.5,ratio 5.5
90,927,2.0,1.2023,0.0724,1.185,0.0535,366.0,366.0,0.99,0.74
91,928,2.0,2.7542,0.302,2.7283,0.1622,454.0,454.0,0.99,0.54
92,929,2.0,1.9498,0.2138,2.1753,0.0977,182.0,182.0,1.12,0.46
93,930,2.0,1.3032,0.0966,1.8937,0.0575,128.0,128.0,1.45,0.6
94,931,2.0,2.0184,0.1567,2.4244,0.1155,554.0,554.0,1.2,0.74
95,932,2.0,0.9226,0.1084,1.1,0.1066,2170.0,1464.0,1.19,0.98
96,933,2.0,0.507,0.0653,0.7338,0.0502,2659.0,1068.0,1.45,0.77
97,935,3.0,0.9016,0.0767,2.5183,0.1562,871.0,755.0,2.79,2.04
98,936,3.0,0.4677,0.0269,0.7545,0.0338,1704.0,653.0,1.61,1.26
99,9031,2.0,1.0,1.0,0.4213,0.044,455.0,415.0,0.42,0.04
100,9081,2.0,1.0,1.0,1.784,0.0548,311.0,311.0,1.78,0.05
101,9131,2.0,1.0,1.0,1.0103,0.0616,304.0,290.0,1.01,0.06
102,9151,2.0,1.0,1.0,0.1956,0.0209,229.0,186.0,0.2,0.02
103,9171,2.0,1.0,1.0,0.9572,0.1074,2170.0,1533.0,0.96,0.11
104,All,1.0,79.4757,8.4216,54.2769,3.0869,20659.0,14937.0,0.68,0.37
105,All,2.0,67.5499,10.4452,82.029,3.769,19025.0,15814.0,1.21,0.36
106,All,3.0,35.7063,2.9145,39.6688,1.5284,4841.0,3538.0,1.11,0.52
107,All,4.0,11.4753,1.5774,22.8478,1.1899,1191.0,738.0,1.99,0.75
108,All,All,194.2072,23.3587,198.8225,9.5742,45716.0,35027.0,1.02,0.41
