longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
60.6,27.6,5.5,95,0.000126,0.01197,153,subduction intraslab Himalayas,2.15037054512,1.1,7.9,27.6N 60.6E 70-180 km depth,27p6N60p6Ez153
60.8,25.4,5.5,95,3e-06,0.000285,935,subduction intraslab Himalayas,0.36212125472,1.07,7.2,25.4N 60.8E 70-180 km depth,25p4N60p8Ez935
60.8,25.6,5.5,95,6e-06,0.00057,935,subduction intraslab Himalayas,0.663151250384,1.07,7.2,25.6N 60.8E 70-180 km depth,25p6N60p8Ez935
60.8,25.8,5.5,95,1e-05,0.00095,935,subduction intraslab Himalayas,0.885,1.07,7.2,25.8N 60.8E 70-180 km depth,25p8N60p8Ez935
60.8,26.0,5.5,95,1.6e-05,0.00152,935,subduction intraslab Himalayas,1.08911998266,1.07,7.2,26N 60.8E 70-180 km depth,26N60p8Ez935
60.8,26.2,5.5,95,2.4e-05,0.00228,935,subduction intraslab Himalayas,1.26521124171,1.07,7.2,26.2N 60.8E 70-180 km depth,26p2N60p8Ez935
60.8,26.4,5.5,95,3.3e-05,0.003135,935,subduction intraslab Himalayas,1.40351393988,1.07,7.2,26.4N 60.8E 70-180 km depth,26p4N60p8Ez935
60.8,26.6,5.5,95,4.3e-05,0.004085,935,subduction intraslab Himalayas,1.51846845558,1.07,7.2,26.6N 60.8E 70-180 km depth,26p6N60p8Ez935
60.8,26.8,5.5,95,5.5e-05,0.005225,935,subduction intraslab Himalayas,1.62536268949,1.07,7.2,26.8N 60.8E 70-180 km depth,26p8N60p8Ez935
60.8,27.0,5.5,95,6.7e-05,0.006365,935,subduction intraslab Himalayas,1.7110748027,1.07,7.2,27N 60.8E 70-180 km depth,27N60p8Ez935
60.8,27.2,5.5,95,8.1e-05,0.007695,935,subduction intraslab Himalayas,1.79348501888,1.07,7.2,27.2N 60.8E 70-180 km depth,27p2N60p8Ez935
60.8,27.4,5.5,95,9.3e-05,0.008835,935,subduction intraslab Himalayas,1.85348294855,1.07,7.2,27.4N 60.8E 70-180 km depth,27p4N60p8Ez935
60.8,27.6,5.5,95,0.0001,0.0095,935,subduction intraslab Himalayas,1.885,1.07,7.2,27.6N 60.8E 70-180 km depth,27p6N60p8Ez935
60.8,27.8,5.5,95,9.8e-05,0.00931,153,subduction intraslab Himalayas,2.04122607569,1.1,7.9,27.8N 60.8E 70-180 km depth,27p8N60p8Ez153
61.0,25.2,5.5,95,3e-06,0.000285,935,subduction intraslab Himalayas,0.36212125472,1.07,7.2,25.2N 61E 70-180 km depth,25p2N61Ez935
61.0,25.4,5.5,95,6e-06,0.00057,935,subduction intraslab Himalayas,0.663151250384,1.07,7.2,25.4N 61E 70-180 km depth,25p4N61Ez935
61.0,25.6,5.5,95,1.1e-05,0.001045,935,subduction intraslab Himalayas,0.926392685158,1.07,7.2,25.6N 61E 70-180 km depth,25p6N61Ez935
61.0,25.8,5.5,95,2e-05,0.0019,935,subduction intraslab Himalayas,1.18602999566,1.07,7.2,25.8N 61E 70-180 km depth,25p8N61Ez935
61.0,26.0,5.5,95,3.1e-05,0.002945,935,subduction intraslab Himalayas,1.37636169383,1.07,7.2,26N 61E 70-180 km depth,26N61Ez935
61.0,26.2,5.5,95,4.5e-05,0.004275,935,subduction intraslab Himalayas,1.53821251378,1.07,7.2,26.2N 61E 70-180 km depth,26p2N61Ez935
61.0,26.4,5.5,95,6e-05,0.0057,935,subduction intraslab Himalayas,1.66315125038,1.07,7.2,26.4N 61E 70-180 km depth,26p4N61Ez935
61.0,26.6,5.5,95,7.3e-05,0.006935,935,subduction intraslab Himalayas,1.74832286012,1.07,7.2,26.6N 61E 70-180 km depth,26p6N61Ez935
61.0,26.8,5.5,95,8.4e-05,0.00798,935,subduction intraslab Himalayas,1.80927928606,1.07,7.2,26.8N 61E 70-180 km depth,26p8N61Ez935
61.0,27.0,5.5,95,9.1e-05,0.008645,935,subduction intraslab Himalayas,1.84404139232,1.07,7.2,27N 61E 70-180 km depth,27N61Ez935
61.0,27.2,5.5,95,9.3e-05,0.008835,935,subduction intraslab Himalayas,1.85348294855,1.07,7.2,27.2N 61E 70-180 km depth,27p2N61Ez935
61.0,27.4,5.5,95,9.2e-05,0.00874,935,subduction intraslab Himalayas,1.84878782735,1.07,7.2,27.4N 61E 70-180 km depth,27p4N61Ez935
61.0,27.6,5.5,95,8.7e-05,0.008265,935,subduction intraslab Himalayas,1.82451925262,1.07,7.2,27.6N 61E 70-180 km depth,27p6N61Ez935
61.0,27.8,5.5,95,7.7e-05,0.007315,935,subduction intraslab Himalayas,1.77149072517,1.07,7.2,27.8N 61E 70-180 km depth,27p8N61Ez935
61.2,25.0,5.5,95,2e-06,0.00019,936,subduction intraslab Himalayas,1.12102999566,1.24,6.7,25N 61.2E 70-180 km depth,25N61p2Ez936
61.2,25.2,5.5,95,5e-06,0.000475,935,subduction intraslab Himalayas,0.583970004336,1.07,7.2,25.2N 61.2E 70-180 km depth,25p2N61p2Ez935
61.2,25.4,5.5,95,1e-05,0.00095,935,subduction intraslab Himalayas,0.885,1.07,7.2,25.4N 61.2E 70-180 km depth,25p4N61p2Ez935
61.2,25.6,5.5,95,2e-05,0.0019,935,subduction intraslab Himalayas,1.18602999566,1.07,7.2,25.6N 61.2E 70-180 km depth,25p6N61p2Ez935
61.2,25.8,5.5,95,3.6e-05,0.00342,935,subduction intraslab Himalayas,1.44130250077,1.07,7.2,25.8N 61.2E 70-180 km depth,25p8N61p2Ez935
61.2,26.0,5.5,95,5.6e-05,0.00532,935,subduction intraslab Himalayas,1.63318802701,1.07,7.2,26N 61.2E 70-180 km depth,26N61p2Ez935
61.2,26.2,5.5,95,7.9e-05,0.007505,935,subduction intraslab Himalayas,1.78262709129,1.07,7.2,26.2N 61.2E 70-180 km depth,26p2N61p2Ez935
61.2,26.4,5.5,95,0.000102,0.00969,935,subduction intraslab Himalayas,1.89360017176,1.07,7.2,26.4N 61.2E 70-180 km depth,26p4N61p2Ez935
61.2,26.6,5.5,95,0.000121,0.011495,935,subduction intraslab Himalayas,1.96778537032,1.07,7.2,26.6N 61.2E 70-180 km depth,26p6N61p2Ez935
61.2,26.8,5.5,95,0.000133,0.012635,935,subduction intraslab Himalayas,2.00885164097,1.07,7.2,26.8N 61.2E 70-180 km depth,26p8N61p2Ez935
61.2,27.0,5.5,95,0.000135,0.012825,935,subduction intraslab Himalayas,2.0153337685,1.07,7.2,27N 61.2E 70-180 km depth,27N61p2Ez935
61.2,27.2,5.5,95,0.000127,0.012065,935,subduction intraslab Himalayas,1.98880372096,1.07,7.2,27.2N 61.2E 70-180 km depth,27p2N61p2Ez935
61.2,27.4,5.5,95,0.000111,0.010545,935,subduction intraslab Himalayas,1.93032297879,1.07,7.2,27.4N 61.2E 70-180 km depth,27p4N61p2Ez935
61.2,27.6,5.5,95,9.2e-05,0.00874,935,subduction intraslab Himalayas,1.84878782735,1.07,7.2,27.6N 61.2E 70-180 km depth,27p6N61p2Ez935
61.2,27.8,5.5,95,7.1e-05,0.006745,935,subduction intraslab Himalayas,1.73625834872,1.07,7.2,27.8N 61.2E 70-180 km depth,27p8N61p2Ez935
61.4,25.0,5.5,95,3e-06,0.000285,936,subduction intraslab Himalayas,1.29712125472,1.24,6.7,25N 61.4E 70-180 km depth,25N61p4Ez936
61.4,25.2,5.5,95,8e-06,0.00076,936,subduction intraslab Himalayas,1.72308998699,1.24,6.7,25.2N 61.4E 70-180 km depth,25p2N61p4Ez936
61.4,25.4,5.5,95,1.7e-05,0.001615,935,subduction intraslab Himalayas,1.11544892138,1.07,7.2,25.4N 61.4E 70-180 km depth,25p4N61p4Ez935
61.4,25.6,5.5,95,3.3e-05,0.003135,935,subduction intraslab Himalayas,1.40351393988,1.07,7.2,25.6N 61.4E 70-180 km depth,25p6N61p4Ez935
61.4,25.8,5.5,95,5.7e-05,0.005415,935,subduction intraslab Himalayas,1.64087485567,1.07,7.2,25.8N 61.4E 70-180 km depth,25p8N61p4Ez935
61.4,26.0,5.5,95,8.9e-05,0.008455,935,subduction intraslab Himalayas,1.83439000664,1.07,7.2,26N 61.4E 70-180 km depth,26N61p4Ez935
61.4,26.2,5.5,95,0.000124,0.01178,935,subduction intraslab Himalayas,1.97842168516,1.07,7.2,26.2N 61.4E 70-180 km depth,26p2N61p4Ez935
61.4,26.4,5.5,95,0.000159,0.015105,935,subduction intraslab Himalayas,2.08639712432,1.07,7.2,26.4N 61.4E 70-180 km depth,26p4N61p4Ez935
61.4,26.6,5.5,95,0.000186,0.01767,935,subduction intraslab Himalayas,2.15451294422,1.07,7.2,26.6N 61.4E 70-180 km depth,26p6N61p4Ez935
61.4,26.8,5.5,95,0.0002,0.019,935,subduction intraslab Himalayas,2.18602999566,1.07,7.2,26.8N 61.4E 70-180 km depth,26p8N61p4Ez935
61.4,27.0,5.5,95,0.000198,0.01881,935,subduction intraslab Himalayas,2.18166519026,1.07,7.2,27N 61.4E 70-180 km depth,27N61p4Ez935
61.4,27.2,5.5,95,0.000181,0.017195,935,subduction intraslab Himalayas,2.14267857487,1.07,7.2,27.2N 61.4E 70-180 km depth,27p2N61p4Ez935
61.4,27.4,5.5,95,0.000151,0.014345,935,subduction intraslab Himalayas,2.06397694729,1.07,7.2,27.4N 61.4E 70-180 km depth,27p4N61p4Ez935
61.4,27.6,5.5,95,0.000116,0.01102,935,subduction intraslab Himalayas,1.94945798923,1.07,7.2,27.6N 61.4E 70-180 km depth,27p6N61p4Ez935
61.4,27.8,5.5,95,8.2e-05,0.00779,935,subduction intraslab Himalayas,1.79881385238,1.07,7.2,27.8N 61.4E 70-180 km depth,27p8N61p4Ez935
61.6,25.0,5.5,95,5e-06,0.000475,936,subduction intraslab Himalayas,1.51897000434,1.24,6.7,25N 61.6E 70-180 km depth,25N61p6Ez936
61.6,25.2,5.5,95,1.1e-05,0.001045,936,subduction intraslab Himalayas,1.86139268516,1.24,6.7,25.2N 61.6E 70-180 km depth,25p2N61p6Ez936
61.6,25.4,5.5,95,2.5e-05,0.002375,935,subduction intraslab Himalayas,1.28294000867,1.07,7.2,25.4N 61.6E 70-180 km depth,25p4N61p6Ez935
61.6,25.6,5.5,95,4.8e-05,0.00456,935,subduction intraslab Himalayas,1.56624123738,1.07,7.2,25.6N 61.6E 70-180 km depth,25p6N61p6Ez935
61.6,25.8,5.5,95,8.3e-05,0.007885,935,subduction intraslab Himalayas,1.80407809238,1.07,7.2,25.8N 61.6E 70-180 km depth,25p8N61p6Ez935
61.6,26.0,5.5,95,0.000127,0.012065,935,subduction intraslab Himalayas,1.98880372096,1.07,7.2,26N 61.6E 70-180 km depth,26N61p6Ez935
61.6,26.2,5.5,95,0.000177,0.016815,935,subduction intraslab Himalayas,2.13297326636,1.07,7.2,26.2N 61.6E 70-180 km depth,26p2N61p6Ez935
61.6,26.4,5.5,95,0.000224,0.02128,935,subduction intraslab Himalayas,2.23524801833,1.07,7.2,26.4N 61.6E 70-180 km depth,26p4N61p6Ez935
61.6,26.6,5.5,95,0.000261,0.024795,935,subduction intraslab Himalayas,2.30164050734,1.07,7.2,26.6N 61.6E 70-180 km depth,26p6N61p6Ez935
61.6,26.8,5.5,95,0.000279,0.026505,935,subduction intraslab Himalayas,2.33060420327,1.07,7.2,26.8N 61.6E 70-180 km depth,26p8N61p6Ez935
61.6,27.0,5.5,95,0.000274,0.02603,935,subduction intraslab Himalayas,2.32275056282,1.07,7.2,27N 61.6E 70-180 km depth,27N61p6Ez935
61.6,27.2,5.5,95,0.000248,0.02356,935,subduction intraslab Himalayas,2.27945168083,1.07,7.2,27.2N 61.6E 70-180 km depth,27p2N61p6Ez935
61.6,27.4,5.5,95,0.000205,0.019475,935,subduction intraslab Himalayas,2.19675386106,1.07,7.2,27.4N 61.6E 70-180 km depth,27p4N61p6Ez935
61.6,27.6,5.5,95,0.000155,0.014725,935,subduction intraslab Himalayas,2.07533169817,1.07,7.2,27.6N 61.6E 70-180 km depth,27p6N61p6Ez935
61.6,27.8,5.5,95,0.000106,0.01007,935,subduction intraslab Himalayas,1.91030586526,1.07,7.2,27.8N 61.6E 70-180 km depth,27p8N61p6Ez935
