longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,nearest,name,id
65.2,33.4,5.5,97,4.12422500629e-06,0.00040004982561,169,subduction intraslab Himalayas,-0.764657648838,0.84,8.6,384.250738251,33.4N 65.2E 180-300 km depth,33p4N65p2Ez169
65.2,33.6,5.5,97,4.12422500629e-06,0.00040004982561,169,subduction intraslab Himalayas,-0.764657648838,0.84,8.6,376.509660071,33.6N 65.2E 180-300 km depth,33p6N65p2Ez169
65.2,33.8,5.5,97,4.12422500629e-06,0.00040004982561,169,subduction intraslab Himalayas,-0.764657648838,0.84,8.6,369.93566525,33.8N 65.2E 180-300 km depth,33p8N65p2Ez169
65.2,34.0,5.5,97,4.12422500629e-06,0.00040004982561,169,subduction intraslab Himalayas,-0.764657648838,0.84,8.6,364.592614662,34N 65.2E 180-300 km depth,34N65p2Ez169
65.2,34.2,5.5,97,4.12422500629e-06,0.00040004982561,169,subduction intraslab Himalayas,-0.764657648838,0.84,8.6,360.46595906,34.2N 65.2E 180-300 km depth,34p2N65p2Ez169
65.4,33.2,5.5,97,4.12422500629e-06,0.00040004982561,169,subduction intraslab Himalayas,-0.764657648838,0.84,8.6,376.365252613,33.2N 65.4E 180-300 km depth,33p2N65p4Ez169
65.4,33.4,5.5,97,4.12422500629e-06,0.00040004982561,169,subduction intraslab Himalayas,-0.764657648838,0.84,8.6,367.160249077,33.4N 65.4E 180-300 km depth,33p4N65p4Ez169
65.4,33.6,5.5,97,8.24845001258e-06,0.000800099651221,169,subduction intraslab Himalayas,-0.463627653174,0.84,8.6,359.08811438,33.6N 65.4E 180-300 km depth,33p6N65p4Ez169
65.4,33.8,5.5,97,8.24845001258e-06,0.000800099651221,169,subduction intraslab Himalayas,-0.463627653174,0.84,8.6,352.227559359,33.8N 65.4E 180-300 km depth,33p8N65p4Ez169
65.4,34.0,5.5,97,8.24845001258e-06,0.000800099651221,169,subduction intraslab Himalayas,-0.463627653174,0.84,8.6,346.651285593,34N 65.4E 180-300 km depth,34N65p4Ez169
65.4,34.2,5.5,97,8.24845001258e-06,0.000800099651221,169,subduction intraslab Himalayas,-0.463627653174,0.84,8.6,342.40041652,34.2N 65.4E 180-300 km depth,34p2N65p4Ez169
65.4,34.4,5.5,97,8.24845001258e-06,0.000800099651221,169,subduction intraslab Himalayas,-0.463627653174,0.84,8.6,338.610670667,34.4N 65.4E 180-300 km depth,34p4N65p4Ez169
65.4,34.6,5.5,97,4.12422500629e-06,0.00040004982561,169,subduction intraslab Himalayas,-0.764657648838,0.84,8.6,334.815062642,34.6N 65.4E 180-300 km depth,34p6N65p4Ez169
65.6,33.0,5.5,97,4.12422500629e-06,0.00040004982561,169,subduction intraslab Himalayas,-0.764657648838,0.84,8.6,370.482105843,33N 65.6E 180-300 km depth,33N65p6Ez169
65.6,33.2,5.5,97,8.24845001258e-06,0.000800099651221,169,subduction intraslab Himalayas,-0.463627653174,0.84,8.6,359.800296771,33.2N 65.6E 180-300 km depth,33p2N65p6Ez169
65.6,33.4,5.5,97,1.23726750189e-05,0.00120014947683,169,subduction intraslab Himalayas,-0.287536394119,0.84,8.6,350.195713212,33.4N 65.6E 180-300 km depth,33p4N65p6Ez169
65.6,33.6,5.5,97,1.64969000252e-05,0.00160019930244,169,subduction intraslab Himalayas,-0.16259765751,0.84,8.6,341.760095622,33.6N 65.6E 180-300 km depth,33p6N65p6Ez169
