longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,hypo_depth,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
63,29,0.0009,4.5,39,2.3077e-05,846.52,169,,300,180,180,subduction interface,1.4382,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,29N 63E 180-300 km depth M4.5,29N_63E_L4_M4p5,-5.33,-6.68,-8.75
63,30,0.0029,4.5,39,7.4359e-05,767.13,169,,300,180,180,subduction interface,1.9463,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,30N 63E 180-300 km depth M4.5,30N_63E_L4_M4p5,-4.81,-6.16,-7.63
64,29,0.0081,4.5,39,0.00020769,786.53,169,,300,180,180,subduction interface,2.3924,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,29N 64E 180-300 km depth M4.5,29N_64E_L4_M4p5,-4.36,-5.71,-7.1
64,30,0.0258,4.5,39,0.00066154,700.88,169,,300,180,180,subduction interface,2.8956,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,30N 64E 180-300 km depth M4.5,30N_64E_L4_M4p5,-3.85,-5.2,-6.57
64,31,0.0002,4.5,39,5.1282e-06,622.79,169,,300,180,180,subduction interface,0.78497,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,31N 64E 180-300 km depth M4.5,31N_64E_L4_M4p5,-6.04,-7.39,
65,29,0.0009,4.5,39,2.3077e-05,733.49,169,,300,180,180,subduction interface,1.4382,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,29N 65E 180-300 km depth M4.5,29N_65E_L4_M4p5,-5.33,-6.68,-8.75
65,30,0.0029,4.5,39,7.4359e-05,641.24,169,,300,180,180,subduction interface,1.9463,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,30N 65E 180-300 km depth M4.5,30N_65E_L4_M4p5,-4.81,-6.16,-7.63
68,36,0.0003,4.5,39,7.6923e-06,77.543,169,,300,180,180,subduction interface,0.96106,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,36N 68E 180-300 km depth M4.5,36N_68E_L4_M4p5,-5.84,-7.19,
68,37,0.0001,4.5,39,2.5641e-06,61.3,169,,300,180,180,subduction interface,0.48394,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,37N 68E 180-300 km depth M4.5,37N_68E_L4_M4p5,-6.44,-7.79,
69,35,0.0005,4.5,39,1.2821e-05,3.6305,169,,300,180,180,subduction interface,1.1829,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,35N 69E 180-300 km depth M4.5,35N_69E_L4_M4p5,-5.6,-6.95,
69,36,0.0726,4.5,39,0.0018615,0,169,169,300,180,180,subduction interface,3.3449,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,36N 69E 180-300 km depth M4.5,36N_69E_L4_M4p5,-3.41,-4.76,-6.11
69,37,0.0566,4.5,39,0.0014513,0,169,169,300,180,180,subduction interface,3.2368,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,37N 69E 180-300 km depth M4.5,37N_69E_L4_M4p5,-3.51,-4.86,-6.22
69,38,0.0001,4.5,39,2.5641e-06,73.012,169,,300,180,180,subduction interface,0.48394,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,38N 69E 180-300 km depth M4.5,38N_69E_L4_M4p5,-6.44,-7.79,
70,35,0.0067,4.5,39,0.00017179,0,169,169,300,180,180,subduction interface,2.31,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,35N 70E 180-300 km depth M4.5,35N_70E_L4_M4p5,-4.44,-5.79,-7.19
70,36,1.3305,4.5,39,0.034115,0,169,169,300,180,180,subduction interface,4.608,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,36N 70E 180-300 km depth M4.5,36N_70E_L4_M4p5,-2.14,-3.49,-4.84
70,37,1.1144,4.5,39,0.028574,0,169,169,300,180,180,subduction interface,4.531,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,37N 70E 180-300 km depth M4.5,37N_70E_L4_M4p5,-2.22,-3.57,-4.92
70,38,0.0044,4.5,39,0.00011282,55.494,169,,300,180,180,subduction interface,2.1274,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,38N 70E 180-300 km depth M4.5,38N_70E_L4_M4p5,-4.63,-5.98,-7.4
71,35,0.0122,4.5,39,0.00031282,15.656,169,,300,180,180,subduction interface,2.5703,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,35N 71E 180-300 km depth M4.5,35N_71E_L4_M4p5,-4.18,-5.53,-6.91
71,36,2.6685,4.5,39,0.068423,0,169,169,300,180,180,subduction interface,4.9102,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,36N 71E 180-300 km depth M4.5,36N_71E_L4_M4p5,-1.84,-3.19,-4.54
71,37,2.633,4.5,39,0.067513,0,169,169,300,180,180,subduction interface,4.9044,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,37N 71E 180-300 km depth M4.5,37N_71E_L4_M4p5,-1.85,-3.2,-4.55
71,38,0.0454,4.5,39,0.0011641,37.6,170,,300,180,180,subduction intraslab Himalayas,0.84599,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,38N 71E 180-300 km depth M4.5,38N_71E_L4_M4p5,-3.42,-4.26,-5.1
71,39,0.0001,4.5,39,2.5641e-06,51.219,170,,300,180,180,subduction intraslab Himalayas,-1.8111,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,39N 71E 180-300 km depth M4.5,39N_71E_L4_M4p5,,,
72,35,0.003,4.5,39,7.6923e-05,42.595,169,,300,180,180,subduction interface,1.9611,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,35N 72E 180-300 km depth M4.5,35N_72E_L4_M4p5,-4.79,-6.14,-7.61
72,36,0.4254,4.5,39,0.010908,0,169,169,300,180,180,subduction interface,4.1127,1.35,0.1,7,0.3,92.0,67,103,2,StrasserInterface,36N 72E 180-300 km depth M4.5,36N_72E_L4_M4p5,-2.64,-3.99,-5.34
72,37,0.8576,4.5,39,0.02199,0,170,170,300,180,180,subduction intraslab Himalayas,2.1222,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,37N 72E 180-300 km depth M4.5,37N_72E_L4_M4p5,-2.08,-2.92,-3.76
72,38,0.1854,4.5,39,0.0047538,0,170,170,300,180,180,subduction intraslab Himalayas,1.457,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,38N 72E 180-300 km depth M4.5,38N_72E_L4_M4p5,-2.76,-3.6,-4.44
72,39,0.0005,4.5,39,1.2821e-05,34.124,170,,300,180,180,subduction intraslab Himalayas,-1.1121,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,39N 72E 180-300 km depth M4.5,39N_72E_L4_M4p5,,,
73,36,0.0032,4.5,39,8.2051e-05,40.2,170,,300,180,180,subduction intraslab Himalayas,-0.30591,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,36N 73E 180-300 km depth M4.5,36N_73E_L4_M4p5,,,
73,37,0.1126,4.5,39,0.0028872,0,170,170,300,180,180,subduction intraslab Himalayas,1.2405,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,37N 73E 180-300 km depth M4.5,37N_73E_L4_M4p5,-2.99,-3.83,-4.67
