zoneid,layerid,a,b,stdb,mmax,stdmmax,faulting style,tectonic subregion,region
71,1,0.0,0.81,0.05,5.8,0.3,strike-slip,no seismicity,Bay of Bengal & Arabian Sea
923,1,2.51,0.73,0.06,6.0,0.3,strike-slip,stable shallow crust,Peninsular India
82,1,3.14,1.01,0.13,6.1,0.3,reverse,stable shallow crust,Peninsular India
