longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
64,29,0.0036,4.5,45,8e-05,26.963,94.0,,70,25,subduction interface,0.31309,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,29N 64E 25-70 km depth M4.5,29N_64E_L2_M4p5,-4.88,-5.86,-6.84
64,30,0.0198,4.5,45,0.00044,53.969,94.0,,70,25,subduction interface,1.0535,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,30N 64E 25-70 km depth M4.5,30N_64E_L2_M4p5,-3.89,-4.87,-5.85
64,31,0.001,4.5,45,2.2222e-05,80.954,94.0,,70,25,subduction interface,-0.24321,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,31N 64E 25-70 km depth M4.5,31N_64E_L2_M4p5,,,
64,32,0.0035,4.5,45,7.7778e-05,107.91,94.0,,70,25,subduction interface,0.30086,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,32N 64E 25-70 km depth M4.5,32N_64E_L2_M4p5,-4.9,-5.88,-6.86
65,22,0.0001,4.5,45,2.2222e-06,277.93,95.0,,70,25,subduction interface,-1.4232,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,22N 65E 25-70 km depth M4.5,22N_65E_L2_M4p5,,,
65,23,0.0264,4.5,45,0.00058667,169.56,95.0,,70,25,subduction interface,0.99839,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,23N 65E 25-70 km depth M4.5,23N_65E_L2_M4p5,-3.75,-4.69,-5.7
65,24,0.0487,4.5,45,0.0010822,61.083,95.0,,70,25,subduction interface,1.2643,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,24N 65E 25-70 km depth M4.5,24N_65E_L2_M4p5,-3.46,-4.4,-5.38
65,32,0.0049,4.5,45,0.00010889,16.668,94.0,,70,25,subduction interface,0.44698,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,32N 65E 25-70 km depth M4.5,32N_65E_L2_M4p5,-4.64,-5.62,-6.6
65,33,0.0006,4.5,45,1.3333e-05,47.725,92.0,,70,25,subduction interface,-0.15006,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,33N 65E 25-70 km depth M4.5,33N_65E_L2_M4p5,,,
66,23,0.0039,4.5,45,8.6667e-05,147.6,94.0,,70,25,subduction interface,0.34785,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,23N 66E 25-70 km depth M4.5,23N_66E_L2_M4p5,-4.81,-5.79,-6.77
66,24,0.0452,4.5,45,0.0010044,80.184,94.0,,70,25,subduction interface,1.4119,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,24N 66E 25-70 km depth M4.5,24N_66E_L2_M4p5,-3.51,-4.49,-5.47
66,34,0.0002,4.5,45,4.4444e-06,16.226,92.0,,70,25,subduction interface,-0.62718,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,34N 66E 25-70 km depth M4.5,34N_66E_L2_M4p5,,,
66,35,0.0027,4.5,45,6e-05,67.546,92.0,,70,25,subduction interface,0.50315,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,35N 66E 25-70 km depth M4.5,35N_66E_L2_M4p5,-4.91,-5.96,-7.01
67,23,0.0012,4.5,45,2.6667e-05,66.149,94.0,,70,25,subduction interface,-0.16403,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,23N 67E 25-70 km depth M4.5,23N_67E_L2_M4p5,,,
67,36,0.0523,4.5,45,0.0011622,24.919,88.0,,70,25,subduction interface,2.5553,1.22,0.09,8,0.4,4,73,210,2,StrasserInterface,36N 67E 25-70 km depth M4.5,36N_67E_L2_M4p5,-3.55,-4.77,-5.99
69,22,0.0001,4.5,45,2.2222e-06,18.34,932.0,,70,25,stable shallow crust,-1.4682,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,22N 69E 25-70 km depth M4.5,22N_69E_L2_M4p5,,,
69,23,0.0003,4.5,45,6.6667e-06,0,93.0,93,70,25,subduction interface,0.13391,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,23N 69E 25-70 km depth M4.5,23N_69E_L2_M4p5,-6.34,-7.52,-8.7
69,24,0.018,4.5,45,0.0004,0,93.0,93,70,25,subduction interface,1.9121,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,24N 69E 25-70 km depth M4.5,24N_69E_L2_M4p5,-3.99,-5.17,-6.35
69,25,0.0277,4.5,45,0.00061556,0,93.0,93,70,25,subduction interface,2.0993,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,25N 69E 25-70 km depth M4.5,25N_69E_L2_M4p5,-3.8,-4.98,-6.16
69,26,0.0042,4.5,45,9.3333e-05,0,93.0,93,70,25,subduction interface,1.28,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,26N 69E 25-70 km depth M4.5,26N_69E_L2_M4p5,-4.64,-5.82,-7
70,19,0.0004,4.5,45,8.8889e-06,78.478,933.0,,70,25,stable shallow crust,-1.0462,0.89,0.13,6.8,0.3,129,26,283,2,WC1994,19N 70E 25-70 km depth M4.5,19N_70E_L2_M4p5,,,
70,20,0.0011,4.5,45,2.4444e-05,40.564,933.0,,70,25,stable shallow crust,-0.60682,0.89,0.13,6.8,0.3,129,26,283,2,WC1994,20N 70E 25-70 km depth M4.5,20N_70E_L2_M4p5,,,
70,21,0.0001,4.5,45,2.2222e-06,2.6137,933.0,,70,25,stable shallow crust,-1.6482,0.89,0.13,6.8,0.3,129,26,283,2,WC1994,21N 70E 25-70 km depth M4.5,21N_70E_L2_M4p5,,,
